,NLC,Origin TLC,Station Name,postcode,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits","%-change, 2010-11 to 2011-12",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,lat,long
10,4303,AYW,Aberystwyth,SY23 1LH,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"67,782","95,005",350,"163,137","67,782","95,005",350,"163,137","326,274","310,870",5,0,0,0,,,52.41401,-4.081638
11,2552,ACR,Accrington,BB5 1QQ,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,,"109,350","38,541","24,933","172,824","109,350","38,541","24,933","172,824","345,648","313,382",10,0,1,0,Continues high growth from previous year,,,
12,8600,AAT,Achanalt,"57.6097, -4.9137",Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,57,25,0,82,57,25,0,82,164,200,-18,0,0,0,,,,
13,8601,ACN,Achnasheen,IV22 2EJ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"1,111",889,0,"2,000","1,111",889,0,"2,000","4,000","3,698",8,0,0,0,,,57.574107999999995,-5.081665
14,8602,ACH,Achnashellach,IV54 8YH,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,352,190,0,542,352,190,0,542,"1,084",738,47,0,0,1,Very small absolute number of entries and exits,,57.383361,-5.520293
15,7662,ACK,Acklington,NE65 4DE,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,81,15,0,96,81,15,0,96,192,108,78,0,0,1,Very small absolute number of entries and exits,,,
16,7286,ACL,Acle,NR13 3BZ,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,,"9,195","13,056","4,047","26,298","9,195","13,056","4,047","26,298","52,596","48,170",9,0,0,0,,,52.634735,1.54389
17,4529,ACG,Acocks Green,B27 6EB,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,"43,828","68,079","74,258","186,165","43,828","68,079","74,258","186,165","372,330","381,938",-3,0,0,0,,,,
18,2287,ACB,Acton Bridge,CW8 2RE,North West,Cheshire,Vale Royal,UKD2,Cheshire,London Midland Trains,,,,"4,094","1,531","4,397","10,022","4,094","1,531","4,397","10,022","20,044","17,242",16,0,1,0,Continues high growth from previous year,,,
19,1404,ACC,Acton Central,W3 0BH,London,Greater London,Ealing,UKI2,Outer London,London Overground,,,London Travelcard Area Station,"165,701","211,420","531,886","909,007","165,701","211,420","531,886","909,007","1,818,014","1,339,536",36,0,1,0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx,,
20,3000,AML,Acton Main Line,W3 9EH,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station,"26,777","26,792","121,249","174,818","26,777","26,792","121,249","174,818","349,636","346,756",1,0,0,0,,,,
21,1036,ADD,Adderley Park,B9 4TG,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,"5,538","6,179","14,804","26,521","5,538","6,179","14,804","26,521","53,042","31,048",71,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 19,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,
22,9310,ADW,Addiewell,EH55 8NQ,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,,"3,755","6,197","2,149","12,101","3,755","6,197","2,149","12,101","24,202","22,868",6,0,0,0,,,55.843970999999996,-3.605075
23,5550,ASN,Addlestone,KT15 2PB,South East,Surrey,Runnymede,UKJ2,"Surrey, East & West Sussex",South West Trains,,,,"65,841","47,099","69,946","182,886","65,841","47,099","69,946","182,886","365,772","378,412",-3,0,0,0,,,51.373104999999995,-0.484311
24,5160,ADM,Adisham,CT3 3JE,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,,"2,812","4,604","8,608","16,024","2,812","4,604","8,608","16,024","32,048","36,938",-13,0,1,0,Continues decline in passengers seen over a number of years. Recent decline likely linked to introduction of HS1 services,,,
25,2939,ADC,Adlington (Cheshire),SK10 4NA,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,"4,149","3,427",835,"8,411","4,149","3,427",835,"8,411","16,822","15,852",6,0,0,0,,,53.319056999999994,-2.134777
26,2641,ADL,Adlington (Lancashire),PR8 9RS,North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,,"25,655","13,408","15,910","54,973","25,655","13,408","15,910","54,973","109,946","104,910",5,0,0,0,,,,
27,8353,AWK,Adwick,DN6 7AJ,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,"53,497","28,877","46,566","128,940","53,497","28,877","46,566","128,940","257,880","247,964",4,0,0,0,,,,
28,2255,AIG,Aigburth,L17 6AG,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,,"105,210","143,160","102,714","351,084","105,210","143,160","102,714","351,084","702,168","681,774",3,0,0,0,,,,
29,2350,ANS,Ainsdale,PR8 3HJ,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,,"150,701","213,199","116,439","480,339","150,701","213,199","116,439","480,339","960,678","972,616",-1,0,0,0,,,,
30,2125,AIN,Aintree,L9 5BE,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,,"169,452","251,752","152,444","573,648","169,452","251,752","152,444","573,648","1,147,296","1,197,258",-4,0,0,0,,,,
31,9695,AIR,Airbles,ML1 2SX,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"21,032","21,756","12,260","55,048","21,032","21,756","12,260","55,048","110,096","107,862",2,0,0,0,,,,
32,9759,ADR,Airdrie,ML6 9EX,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"180,334","171,314","227,674","579,322","180,334","171,314","227,674","579,322","1,158,644","1,191,156",-3,0,0,0,,,,
33,5132,AYP,Albany Park,DA5 3HP,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,"79,039","71,892","308,003","458,934","79,039","71,892","308,003","458,934","917,868","913,852",0,0,0,0,,,,
34,4614,ALB,Albrighton,WV7 3DS,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,,"17,347","17,656","17,400","52,403","17,347","17,656","17,400","52,403","104,806","79,232",32,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 7,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,
35,2760,ALD,Alderley Edge,SK9 7QA,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,"40,320","43,977","25,160","109,457","40,320","43,977","25,160","109,457","218,914","202,426",8,0,0,0,,,,
36,3145,AMT,Aldermaston,RG7 6PU,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,,"7,763","12,255","11,885","31,903","7,763","12,255","11,885","31,903","63,806","61,292",4,0,0,0,,,,
37,5623,AHT,Aldershot,GU11 1HN,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,"219,181","288,170","228,223","735,574","219,181","288,170","228,223","735,574","1,471,148","1,492,704",-1,"147,896",0,0,,,51.246373999999996,-0.760105
38,5280,AGT,Aldrington,BN3 5AE,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,,,,"19,892","36,552","39,034","95,478","19,892","36,552","39,034","95,478","190,956","169,266",13,0,1,0,Cause of large increase not clear,,,
39,6025,AAP,Alexandra Palace,N22 7ST,London,Greater London,Haringey,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station,"121,868","133,835","322,938","578,641","121,868","133,835","322,938","578,641","1,157,282","1,114,960",4,"56,050",0,0,,,,
40,9905,AXP,Alexandra Parade,G31 3JN,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"40,121","30,659","20,332","91,112","40,121","30,659","20,332","91,112","182,224","157,348",16,0,1,0,Continues high growth from previous year,,,
41,9861,ALX,Alexandria,G83 0UL,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"51,664","57,399","65,148","174,211","51,664","57,399","65,148","174,211","348,422","346,556",1,0,0,0,,,,
42,1805,ALF,Alfreton,DE5 7QJ,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,"46,896","43,244","15,813","105,953","46,896","43,244","15,813","105,953","211,906","205,306",3,0,0,0,,,,
43,7520,ALW,Allen's West,TS16 0PF,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,Northern Rail,,,,"20,327","2,736","8,752","31,815","20,327","2,736","8,752","31,815","63,630","59,174",8,0,0,0,,,54.524468000000006,-1.3609950000000002
44,9883,ALO,Alloa,FK10 1BA ,Scotland,Clackmannan,Clackmannan,UKM2,Eastern Scotland,First ScotRail,,,,"50,196","114,030","36,346","200,572","50,196","114,030","36,346","200,572","401,144","394,326",2,0,0,0,,,,
45,8605,ASS,Alness,IV17 0SE,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"8,352","2,251","2,145","12,748","8,352","2,251","2,145","12,748","25,496","17,782",43,0,1,0,Continues high growth from previous year,,57.695294999999994,-4.252541000000001
46,7787,ALM,Alnmouth,NE66 2ST,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,"47,258","60,309","20,401","127,968","47,258","60,309","20,401","127,968","255,936","214,230",19,"1,528",1,0,Continues substantial growth seen in previous year and likely to partially be due to benefits of new station car park completed in 2011,http://www.journallive.co.uk/northumberland-sites/alnwick-northumberland/alnwick-news/2011/03/03/new-alnmouth-station-car-park-declared-open-61634-28271606/,55.392155,-1.6364379999999998
47,6847,ALR,Alresford,CO7 8AA,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,,"5,365","5,055","18,946","29,366","5,365","5,055","18,946","29,366","58,732","62,516",-6,0,0,0,,,,
48,1223,ASG,Alsager,ST7 2XW,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,,,,"26,104","10,202","6,400","42,706","26,104","10,202","6,400","42,706","85,412","74,474",15,0,1,0,Continues high growth from previous year,,,
49,6869,ALN,Althorne,CM3 6DG,East,Essex,Maldon,UKH3,Essex,National Express East Anglia,,,,"3,831","3,173","11,499","18,503","3,831","3,173","11,499","18,503","37,006","36,708",1,0,0,0,,,,
50,6532,ALP,Althorpe,DN17 3HL,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,"1,248","2,410",991,"4,649","1,248","2,410",991,"4,649","9,298","8,430",10,0,0,0,,,53.58558000000001,-0.73318
51,8606,ABC,Altnabreac,KW12 6UR,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,109,10,0,119,109,10,0,119,238,172,38,0,0,1,Very small absolute number of entries and exits,,58.337095,-3.6982489999999997
52,5544,AON,Alton,GU34 2PZ,South East,Hampshire,East Hampshire,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,"80,513","112,826","165,559","358,898","80,513","112,826","165,559","358,898","717,796","720,478",-0,0,0,0,,,51.152703,-0.968082
53,2806,ALT,Altrincham,WA14 1EN,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,"51,723","79,593","99,977","231,293","51,723","79,593","99,977","231,293","462,586","476,526",-3,3,0,0,,,53.387218000000004,-2.347712
54,1198,ALV,Alvechurch,B48 7SE,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,,"32,745","14,658","33,195","80,598","32,745","14,658","33,195","80,598","161,196","137,552",17,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 15,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,
55,1678,AMB,Ambergate,DE56 2EN,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,"6,017","11,822","2,140","19,979","6,017","11,822","2,140","19,979","39,958","39,600",1,0,0,0,,,53.060382999999995,-1.4794459999999998
56,5250,AMY,Amberley,BN18 9LR,South East,West Sussex,Horsham,UKJ2,"Surrey, East & West Sussex",Southern,,,,"5,470","14,905","10,164","30,539","5,470","14,905","10,164","30,539","61,078","48,994",25,0,1,0,Cause of large increase not clear,,50.896432,-0.542412
57,506,AMR,Amersham,HP6 5AZ,South East,Buckinghamshire,Chiltern,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Underground,,,,"305,128","320,585","266,300","892,013","305,128","320,585","266,300","892,013","1,784,026","1,713,718",4,0,0,0,,,,
58,4236,AMF,Ammanford,SA18 2DD,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"5,905","3,084",457,"9,446","5,905","3,084",457,"9,446","18,892","19,256",-2,0,0,0,,,51.795837,-3.995772
59,6358,ANC,Ancaster,NG32 3RA,East Midlands,Lincolnshire,South Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,,"1,187",300,535,"2,022","1,187",300,535,"2,022","4,044","4,388",-8,0,0,0,,,52.988983,-0.534358
60,9965,AND,Anderston,G3 8RR,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"94,424","40,150","189,016","323,590","94,424","40,150","189,016","323,590","647,180","576,912",12,0,1,0,Ticket barriers introduced in June 2011,http://en.wikipedia.org/wiki/Anderston_railway_station,,
61,5510,ADV,Andover,SP10 3HN,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,"114,572","216,691","236,908","568,171","114,572","216,691","236,908","568,171","1,136,342","1,089,684",4,"1,050",0,0,,,51.211709,-1.490628
62,5397,ANY,Anerley,SE20 8AG ,London,Greater London,Bromley,UKI2,Outer London,Southern,,,London Travelcard Area Station,"70,659","100,703","142,963","314,325","70,659","100,703","142,963","314,325","628,650","508,902",24,0,1,0,Continued growth from improved East London line service,,,
63,6909,AGR,Angel Road,N18 3AY,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station,"3,745","1,737","8,639","14,121","3,745","1,737","8,639","14,121","28,242","28,646",-1,0,0,0,,,,
64,5267,ANG,Angmering,BN16 3RE,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,,"75,262","199,485","134,979","409,726","75,262","199,485","134,979","409,726","819,452","764,818",7,0,0,0,,,50.816842,-0.48925799999999997
65,9451,ANN,Annan,DS12 6AR,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,,"6,791","55,194","1,369","63,354","6,791","55,194","1,369","63,354","126,708","117,166",8,0,0,0,,,,
66,9972,ANL,Anniesland,G12 0AY,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"202,162","160,895","188,599","551,656","202,162","160,895","188,599","551,656","1,103,312","1,047,958",5,0,0,0,,,,
67,2662,AFV,Ansdell & Fairhaven,FY8 1AG,North West,Lancashire,Fylde,UKD4,Lancashire,Northern Rail,,,,"11,770","6,470","2,518","20,758","11,770","6,470","2,518","20,758","41,516","40,238",3,0,0,0,,,,
68,2052,APP,Appleby,CA16 6TT,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,,"28,139","4,035","2,268","34,442","28,139","4,035","2,268","34,442","68,884","70,808",-3,0,0,0,,,54.580309,-2.4866189999999997
69,5003,APD,Appledore,TN26 2DF,South East,Kent,Ashford,UKJ4,Kent,Southern,,,,"3,828","5,520","6,325","15,673","3,828","5,520","6,325","15,673","31,346","34,182",-8,0,0,0,,,51.03406,0.813496
70,3109,APF,Appleford,OX14 4PJ,South East,Oxfordshire,Vale Of White Horse,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,,"1,044","2,173",673,"3,890","1,044","2,173",673,"3,890","7,780","8,890",-12,0,0,0,,,51.628073,-1.245263
71,2396,APB,Appley Bridge,WN6 9AE,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,,"18,568","76,367","23,690","118,625","18,568","76,367","23,690","118,625","237,250","226,086",5,0,0,0,,,,
72,1430,APS,Apsley,HP3 9SX,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,,"52,716","71,705","89,532","213,953","52,716","71,705","89,532","213,953","427,906","401,244",7,0,0,0,,,,
73,9079,ARB,Arbroath,DD11 1RQ,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,,"69,876","87,422","42,153","199,451","69,876","87,422","42,153","199,451","398,902","404,212",-1,188,0,0,,,56.558595,-2.588591
74,8613,ARD,Ardgay,IV24 3AQ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"3,570",869,5,"4,444","3,570",869,5,"4,444","8,888","7,404",20,0,0,0,,,57.890413,-4.352233
75,9962,AUI,Ardlui,GH3 7EB,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,,844,282,0,"1,126",844,282,0,"1,126","2,252","2,092",8,0,0,0,,,,
76,9453,ADS,Ardrossan Harbour,KA22 8BH,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,"31,813","17,511","7,611","56,935","31,813","17,511","7,611","56,935","113,870","115,954",-2,0,0,0,,,55.64181,-4.816895
77,9569,ASB,Ardrossan South Beach,KA22 8AU,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,"32,608","38,100","46,904","117,612","32,608","38,100","46,904","117,612","235,224","229,090",3,251,0,0,,,55.641470999999996,-4.801915
78,9455,ADN,Ardrossan Town,KA22 8DU,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,"2,914","3,254","4,126","10,294","2,914","3,254","4,126","10,294","20,588","18,872",9,0,0,0,,,55.640834999999996,-4.80651
79,2960,ADK,Ardwick,M12 6LY,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,111,99,82,292,111,99,82,292,584,668,-13,0,0,0,,,,
80,9961,AGS,Argyle Street,G2 8DL,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"221,476","240,967","135,793","598,236","221,476","240,967","135,793","598,236","1,196,472","783,634",53,0,1,0,Cause of large increase not clear,,,
81,8821,ARG,Arisaig,PH39 4NJ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"2,504","1,261",0,"3,765","2,504","1,261",0,"3,765","7,530","7,622",-1,0,0,0,,,56.911143,-5.841974
82,6171,ARL,Arlesey,SG15 6XA,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,,"61,091","72,382","118,250","251,723","61,091","72,382","118,250","251,723","503,446","444,680",13,0,1,0,Continues high growth from previous year,,52.025487,-0.265466
83,990,ARM,Armadale,EH48 3LP,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,,"21,626","20,251","21,166","63,043","21,626","20,251","21,166","63,043","126,086","11,170","1,029",0,1,0,Station opened in March 2011 - first full year of operation,"http://en.wikipedia.org/wiki/Armadale_railway_station,_West_Lothian",55.886603,-3.6967230000000004
84,2054,AWT,Armathwaite,CA8 1HW,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,,"3,919",581,278,"4,778","3,919",581,278,"4,778","9,556","9,684",-1,0,0,0,,,,
85,1963,ARN,Arnside,LA5 0HQ,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,,,,"25,999","18,286","6,931","51,216","25,999","18,286","6,931","51,216","102,432","115,862",-12,0,1,0,Impact of closure of Arnside viaduct for 16 weeks,http://news.bbc.co.uk/local/cumbria/hi/people_and_places/history/newsid_9365000/9365397.stm,,
86,8045,ARR,Arram,HU17 7NR,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,334,527,881,"1,742",334,527,881,"1,742","3,484","3,234",8,0,0,0,,,53.884163,-0.42184499999999997
87,9963,ART,Arrochar & Tarbet,G83 7DB,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,,"2,877","1,860",23,"4,760","2,877","1,860",23,"4,760","9,520","8,784",8,0,0,0,,,,
88,5251,ARU,Arundel,BN18 9PH,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,,"21,315","75,351","47,700","144,366","21,315","75,351","47,700","144,366","288,732","274,844",5,0,0,0,,,50.847858,-0.545816
89,5666,ACT,Ascot,SL5 9EG,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,,"190,639","250,115","129,567","570,321","190,639","250,115","129,567","570,321","1,140,642","1,084,438",5,"299,415",0,0,,,,
90,3003,AUW,Ascott-Under-Wychwood,OX3 5LP,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,,873,155,323,"1,351",873,155,323,"1,351","2,702","1,658",63,0,0,1,Very small absolute number of entries and exits,,,
91,5641,ASH,Ash,GU12 6BE,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,,"37,226","43,464","55,926","136,616","37,226","43,464","55,926","136,616","273,232","270,936",1,"37,297",0,0,,,51.249963,-0.711849
92,5547,AHV,Ash Vale,GU12 5LP,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,,"55,388","64,485","106,281","226,154","55,388","64,485","106,281","226,154","452,308","437,436",3,"139,727",0,0,,,51.272133000000004,-0.721236
93,2941,ABY,Ashburys,M12 5BY,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,"9,137","16,545","17,349","43,031","9,137","16,545","17,349","43,031","86,062","71,722",20,0,1,0,Cause of large increase not clear,,,
94,4700,ASC,Ashchurch,GL20 8HG,South West,Gloucestershire,Tewkesbury,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,,"13,588","15,180","8,319","37,087","13,588","15,180","8,319","37,087","74,174","68,964",8,0,0,0,,,52.001855,-2.131462
95,9953,ASF,Ashfield,G22 6LR,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"15,899","14,567","4,372","34,838","15,899","14,567","4,372","34,838","69,676","54,662",27,0,1,0,Cause of large increase not clear,,,
96,5667,AFS,Ashford (Middlesex),TW15 2QN,South East,Surrey,Spelthorne,UKJ2,"Surrey, East & West Sussex",South West Trains,,,,"118,048","115,237","246,210","479,495","118,048","115,237","246,210","479,495","958,990","913,396",5,0,0,0,,,51.436121,-0.468213
97,5004,AFK,Ashford International,TN23 1EZ,South East,Kent,Ashford,UKJ4,Kent,Southeastern,,,,"286,035","625,622","743,768","1,655,425","286,035","625,622","743,768","1,655,425","3,310,850","3,123,070",6,"748,738",0,0,,,51.143721,0.8762559999999999
98,2850,ASY,Ashley,WA14 3QE,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,"1,060","1,488",790,"3,338","1,060","1,488",790,"3,338","6,676","5,478",22,0,0,0,,,53.355529000000004,-2.342931
