FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,AddressLine3,AddressLine4,RatingDate/_xsi:nil
219662,14840/2003/2/000,Asda,Retailers - supermarkets/hypermarkets,7840,Portland Terrace,Southampton,SO14 7EG,5,fhrs_5_en-GB,2013-06-13,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40662500000000,50.90511900000000,,,
219332,03/00070/ALLPRE,Asda Restaurant / Staff Canteen,Restaurant/Cafe/Canteen,1,Asda Stores Ltd,Portland Terrace,SO14 7EG,5,fhrs_5_en-GB,2015-08-27,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40662500000000,50.90511900000000,Southampton,,
452311,08/00267/FOOD,Ashleigh R,Restaurant/Cafe/Canteen,1,MV Ashleigh R Berth,Ocean Village Marina,SO14 3TJ,5,fhrs_5_en-GB,2014-03-20,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39494900000000,50.89520300000000,Southampton,,
219659,21220/0217/0/000,Ashwood House,Hospitals/Childcare/Caring Premises,5,217 Winchester Road,Southampton,SO16 6UA,5,fhrs_5_en-GB,2012-05-30,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.42762000000000,50.92922400000000,,,
219500,16840/0010/0/000,Ashwood Rest Home,Hospitals/Childcare/Caring Premises,5,10 Shirley Avenue,Southampton,SO15 5NG,5,fhrs_5_en-GB,2016-11-02,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.42988500000000,50.92197000000000,,,
219392,20550/0013/0/000,Asia Wok,Takeaway/sandwich shop,7844,13 West End Road,Bitterne,SO18 6TE,5,fhrs_5_en-GB,2018-01-25,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.36171600000000,50.91525900000000,Southampton,,
219570,17720/0053/0/000,Asian Cash & Carry,Retailers - other,4613,52 - 53 St Mary's Road,Southampton,SO14 0BH,4,fhrs_4_en-GB,2018-03-08,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.39941200000000,50.90974000000000,Hampshire,,
220119,21720/0007/2/000,Ask Italian Restaurant,Restaurant/Cafe/Canteen,1,Unit 3 Leisureworld,West Quay Road,,5,fhrs_5_en-GB,2018-02-01,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,,,Southampton,,
220283,20720/0222/0/000,Aspen Care/Lodge,Hospitals/Childcare/Caring Premises,5,222 Weston Lane,Southampton,SO19 9HL,5,fhrs_5_en-GB,2016-10-25,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,5,5,FHRS,False,-1.35995000000000,50.89258900000000,,,
462901,12/00115/FOOD,Asquith Day Nursery,Hospitals/Childcare/Caring Premises,5,Asquith Nursery,David Lloyd Leisure Ltd Sports Cent,SO16 0XS,5,fhrs_5_en-GB,2016-06-23,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,5,0,FHRS,False,-1.46373200000000,50.93681400000000,Frogmore Lane,Southampton,
220234,15390/0000/2/000,Atherley Bowling Club,Pub/bar/nightclub,7843,Atherley Bowling Club,Raymond Road,SO15 5AG,4,fhrs_4_en-GB,2016-12-08,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,10,5,5,FHRS,False,-1.41910400000000,50.91948900000000,Southampton,,
219433,00910/0080/A/000,Atherley Stores Premier,Retailers - other,4613,80A Atherley Road,Southampton,SO15 5DS,5,fhrs_5_en-GB,2013-06-24,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.41827800000000,50.91612100000000,,,
219316,09200/2830/0/000,Atlantic Guest House,Hotel/bed & breakfast/guest house,7842,28-30 Hill Lane,Southampton,SO15 5AY,5,fhrs_5_en-GB,2010-04-20,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,5,5,FHRS,False,-1.41600900000000,50.91096600000000,,,
219550,08/00217/FOOD,Avenue B and B,Hotel/bed & breakfast/guest house,7842,19 The Avenue,Southampton,SO17 1XF,5,fhrs_5_en-GB,2011-02-09,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,5,FHRS,False,-1.40217000000000,50.91649000000000,,,
409172,13660/0049/0/000,B P After School Club,Restaurant/Cafe/Canteen,1,49 Oaktree Road,Southampton,SO18 1PJ,5,fhrs_5_en-GB,2016-12-05,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.37467500000000,50.93014000000000,,,
219311,14930/0273/0/000,Baan Mai Restaurant,Restaurant/Cafe/Canteen,1,273 Portswood Road,Southampton,SO17 2LD,1,fhrs_1_en-GB,2015-12-09,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,15,20,FHRS,False,-1.39014900000000,50.92741600000000,,,
219700,06430/0036/2/000,Bald Faced Stag,Pub/bar/nightclub,7843,36 Edward Road,Southampton,SO15 3GZ,5,fhrs_5_en-GB,2008-10-09,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.43168500000000,50.91789600000000,,,
220327,06/00095/FOOD,Balkh Restaurant,Restaurant/Cafe/Canteen,1,115 St. Mary Street,Southampton,SO14 1PF,4,fhrs_4_en-GB,2017-02-13,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.39642700000000,50.90629000000000,,,
219914,04/00067/ALLPRE,Balti House,Takeaway/sandwich shop,7844,36 Windrush Road,Southampton,SO16 9DD,4,fhrs_4_en-GB,2017-05-18,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.45758000000000,50.92488000000000,Hampshire,,
371608,10/00132/FOOD,Baltic Food Supermarket,Retailers - other,4613,4 - 6 Shirley High Street,Southampton,SO15 3NH,5,fhrs_5_en-GB,2012-05-08,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.43228500000000,50.92120800000000,,,
220266,05/00383/FOOD,Banana Wharf,Pub/bar/nightclub,7843,Unit 2 Block C2,Admirals Quay,SO14 3JT,5,fhrs_5_en-GB,2017-12-21,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39940200000000,50.89945300000000,Ocean Village,Southampton,
220372,05890/0155/0/000,Banga International,Retailers - other,4613,155 Derby Road,Newtown,SO14 0DX,5,fhrs_5_en-GB,2018-03-07,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39354700000000,50.91344200000000,Southampton,,
219631,21220/0278/0/000,Bangla Balti House,Takeaway/sandwich shop,7844,278 Winchester Road,Southampton,SO16 6TJ,4,fhrs_4_en-GB,2017-06-28,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.42522000000000,50.93110100000000,,,
838096,07/00140/FOOD,Banister Infant School BREAKFAST CLUB,Hospitals/Childcare/Caring Premises,5,Banister Gardens,Westrow Road,SO15 2LX,AwaitingInspection,fhrs_awaitinginspection_en-GB,,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,,,,FHRS,False,-1.41018500000000,50.91713300000000,Southampton,,true
220177,01110/0000/2/000,Banister Primary School,School/college/university,7845,Banister Gardens,Southampton,SO15 2LX,5,fhrs_5_en-GB,2015-06-23,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.41018500000000,50.91713300000000,,,
219585,07/00166/FOOD,Bar 2 (Level 2),Pub/bar/nightclub,7843,Building 42,University Road,SO17 1BJ,5,fhrs_5_en-GB,2010-11-24,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39569600000000,50.93419800000000,Southampton,Hampshire,
219389,07/00165/FOOD,Bar 3 (Level 3),Pub/bar/nightclub,7843,Building 42,University Of Southampton,,5,fhrs_5_en-GB,2008-12-03,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,,,University Road,Southampton,
219588,01660/0004/0/000,Basmati Nepalese and Indian Restaurant,Restaurant/Cafe/Canteen,1,4 Bedford Place,Southampton,SO15 2DB,5,fhrs_5_en-GB,2017-06-12,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40587100000000,50.91186800000000,,,
219165,09440/2001/2/000,Bassett Green Junior School,School/college/university,7845,Honeysuckle Road,Southampton,SO16 3BZ,5,fhrs_5_en-GB,2014-01-24,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39118700000000,50.93943500000000,,,
219212,05/00392/FOOD,Bassett House,Hospitals/Childcare/Caring Premises,5,1 Bassett Avenue,Southampton,SO16 7DP,4,fhrs_4_en-GB,2011-09-26,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.40716500000000,50.93761100000000,,,
220021,21170/1221/0/000,Bassett Lawn Tennis Club,Pub/bar/nightclub,7843,124-142 Wilton Road,Southampton,SO15 5JR,4,fhrs_4_en-GB,2010-02-19,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.42258900000000,50.92527000000000,,,
219420,21220/0359/0/000,Bassett Pizza Ltd,Takeaway/sandwich shop,7844,359 Winchester Road,Southampton,SO16 7DJ,5,fhrs_5_en-GB,2017-08-08,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.41784700000000,50.93467900000000,,,
570621,03/00040/ALLPRE,Bassett Tea Rooms,Restaurant/Cafe/Canteen,1,367 Winchester Road,Southampton,SO16 7DJ,5,fhrs_5_en-GB,2015-02-27,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,5,FHRS,False,-1.41784700000000,50.93467900000000,,,
220371,15600/2000/2/000,BAT Co Ltd,Restaurant/Cafe/Canteen,1,Regents Park Road,Southampton,SO15 8TL,5,fhrs_5_en-GB,2010-09-14,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.44026800000000,50.91629200000000,,,
219600,09/00159/FOOD,Baxter Storey,Restaurant/Cafe/Canteen,1,Carnival House,100 Harbour Parade,SO15 1ST,5,fhrs_5_en-GB,2018-03-07,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.40935800000000,50.90157200000000,Southampton,,
219900,09130/0056/0/000,Bay Leaf Kitchen,Restaurant/Cafe/Canteen,1,56 High Street,Southampton,SO14 2NS,2,fhrs_2_en-GB,2014-02-22,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,15,10,10,FHRS,False,-1.40348800000000,50.89905100000000,,,
219346,04450/2025/B/000,BBs Coffe And Muffins,Restaurant/Cafe/Canteen,1,25B Marlands Shopping Centre,Civic Centre Road,SO14 7SJ,5,fhrs_5_en-GB,2016-01-19,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,5,FHRS,False,-1.40589000000000,50.90591500000000,Southampton,,
984639,17/00086/FOOD,Bean off Road,Mobile caterer,7846,80 Bullar Road,Southampton,SO18 1GS,5,fhrs_5_en-GB,2017-09-12,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.37397301197052,50.92093658447270,,,
219796,01660/0023/2/000,Bedford Arms,Pub/bar/nightclub,7843,23 Bedford Place,Southampton,SO15 2DB,5,fhrs_5_en-GB,2018-01-29,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40587100000000,50.91186800000000,,,
219606,10020/0000/2/000,Beechwood Junior School,School/college/university,7845,Juniper Road,Bitterne,SO18 4EG,5,fhrs_5_en-GB,2017-11-16,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,5,0,FHRS,False,-1.36790200000000,50.91744200000000,Southampton,,
219442,07/00037/FOOD,Beechwood School Breakfast Club,Hospitals/Childcare/Caring Premises,5,Juniper Road,Bitterne,SO18 4EG,5,fhrs_5_en-GB,2009-09-30,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.36790200000000,50.91744200000000,Southampton,,
219797,08440/0019/0/001,Bella Italia,Restaurant/Cafe/Canteen,1,19 Hanover Buildings,Southampton,SO14 1JX,5,fhrs_5_en-GB,2018-02-01,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,0,0,FHRS,False,-1.40186200000000,50.90276500000000,,,
219703,06/00024/FOOD,Bella Italia Southampton,Restaurant/Cafe/Canteen,1,107 Above Bar Street,Southampton,SO14 7FH,5,fhrs_5_en-GB,2018-02-19,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.40485800000000,50.90653100000000,,,
219542,07/00066/FOOD,Bengal Paradise,Takeaway/sandwich shop,7844,3 Manor Farm Road,Bitterne Park,SO18 1NN,4,fhrs_4_en-GB,2016-11-01,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.37567300000000,50.92464200000000,Southampton,,
838135,09/00073/FOOD,Bernie Caribbean Barbeque,Mobile caterer,7846,23 Maryfield,Southampton,SO14 3TH,AwaitingInspection,fhrs_awaitinginspection_en-GB,,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,,,,FHRS,False,-1.39553500000000,50.90157200000000,,,true
219908,07/00031/FOOD,Best Kebabs,Takeaway/sandwich shop,7844,58 Lodge Road,Southampton,SO14 6RG,5,fhrs_5_en-GB,2018-03-07,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.39930100000000,50.91944200000000,,,
219252,15600/0067/2/001,Best One,Retailers - other,4613,67 Regents Park Road,Southampton,SO15 8PE,5,fhrs_5_en-GB,2016-10-04,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.44080900000000,50.91747200000000,,,
462905,19380/3335/0/000,Best One Express,Retailers - other,4613,33-35 Twyford Avenue,Southampton,SO15 5NZ,5,fhrs_5_en-GB,2016-06-13,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.42602300000000,50.92486400000000,,,
220046,07280/0000/2/000,Bevois Town Primary School,School/college/university,7845,Cedar Road,Southampton,SO14 6RU,5,fhrs_5_en-GB,2013-03-25,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,0,FHRS,False,-1.39876800000000,50.91890900000000,Hampshire,,
