OrganisationName,Latitude,Longitude
H S Chemist,53.8057022095,-1.7684592009
Day Lewis Pharmacy,51.6133728027,0.4293752313
Boots,50.3893051147,-4.1298265457
Victoria Pharmacy,51.5778808594,-0.2077435553
Boots,50.9258155823,-1.3930046558
Sainsburys Supermarket,51.6041259766,-0.0210297331
East Chemist,51.4500999451,-0.2398519814
T.j. Chemist,51.4380722046,-0.1970633417
Rowlands Pharmacy,53.482334137,-2.8854179382
Brennans Pharmacy,52.57396698,-1.1999776363
Cooke's Chemist,53.3696556091,-2.7246379852
Asda Pharmacy,54.6589431763,-1.6722604036
Lloydspharmacy,52.248790741,-0.873724997
Cohens Chemist,53.5644264221,-0.112564303
Mr Pickford's Express Pharmacy,52.4873580933,-0.7013252974
Lloydspharmacy,52.6040267944,-1.614055872
Scotts Chemist,51.1303939819,1.3052859306
Woodland Park Pharmacy,51.5017318726,-0.7633885145
The Co-Operative Pharmacy,50.4269561768,-4.1357116699
Paydens Limited,51.3856506348,0.5479881763
Totty Pharmacy,51.4862556458,0.0321834572
Medichem Limited,54.8946876526,-1.3729096651
Tesco Pharmacy,53.5259170532,-2.4014923573
The Co-Operative Pharmacy,53.3429298401,-1.4782056808
Cohens Chemists,53.7873764038,-2.2656383514
Jardines Pharmacy,51.9011230469,-0.4628995657
Victoria Pharmacy,51.4951629639,-0.1274334192
Eurobay Pharmacy,51.8040275574,-0.1890703887
North Tawton Pharmacy,50.7990341187,-3.896112442
Tesco Instore Pharmacy,51.5907745361,0.4795534611
Health Centre Pharmacy,52.5408821106,-1.3677403927
Abc Drugstores,51.539478302,-0.188689366
Lloydspharmacy,50.5798530579,-3.4738049507
Lloydspharmacy,52.3021583557,-1.5185741186
Lander & Hunter,52.9128952026,-1.4769024849
Ash Grove Pharmacy,53.7048988342,-1.2448778152
Chequerfield Pharmacy,53.6859931946,-1.298271656
Hodgson Pharmacy,51.3970336914,0.2999699116
Sainsbury's Pharmacy,51.432559967,-0.5193452835
Burnopfield Pharmacy,54.9055709839,-1.7404267788
Lloydspharmacy,52.9986228943,-2.1628746986
Superdrug Pharmacy,51.4822654724,-0.6093446612
Boots,53.1631965637,-2.2135438919
Winchester Pharmacy,51.5059547424,-0.4749939144
The Co-Operative Pharmacy,53.8102760315,-1.6496318579
Lloydspharmacy,51.8005447388,0.641409874
Drighlington Pharmacy,53.754699707,-1.6574497223
Boots,55.009147644,-1.4471640587
Soka Blackmore Pharmacy,51.4845466614,0.1649071872
Sainsbury's Pharmacy,52.4019927979,-1.8206830025
Tesco In-Store Pharmacy,51.7059135437,-1.9527323246
Broomwood Pharmacy Ltd,53.3924179077,-2.3116352558
Sainsburys Pharmacy,51.6518554688,-0.0571301021
Co-Operative Group Healthcare Limited,52.7855377197,-1.6248929501
Broadway Pharmacy,51.4571876526,0.1419191957
Boots,52.6218986511,1.2623262405
Sunak Pharmacy,50.9341506958,-1.417657733
Shinfield Pharmacy,51.4043617249,-0.9478530288
Manor Pharmacy,53.4934654236,-2.0320668221
Markand Pharmacy,51.4709320068,-0.9592373371
Lakenheath Pharmacy,52.4175300598,0.5181587934
Derby Street Pharmacy,53.5674438477,-2.4424724579
Castle Lane Pharmacy,50.7509346008,-1.8420951366
Ashgrove Pharmacy,51.4804496765,-2.5822033882
Evergreen Pharmacy,51.5293769836,-0.1327916086
Boots,51.5506210327,-0.165601477
Highfield Pharmacy,53.5466346741,-2.4277670383
The Laurels Pharmacy,51.6731758118,-1.9307276011
Boots,54.3747596741,-1.7231397629
Lloydspharmacy,52.9211425781,-1.4046815634
Superdrug Stores Plc,51.2084960938,-4.123316288
Rajja Chemists,52.4288063049,-1.4956649542
Leddra Pharmacy,50.2131576538,-5.4802317619
Dr Pharmacy,51.8897247314,-0.4417090416
Frosts Pharmacy,52.0753288269,-1.3551777601
Boots,52.739906311,0.4130012989
Unicare Pharmacy,51.5250167847,0.4477067888
Hc Heard Chemists,51.5850410461,-0.2190095782
Strachan's Chemist,53.6024398804,-2.2906336784
Superdrug Pharmacy,51.4158325195,-0.7489830256
Boots,52.7088737488,-2.7544898987
Rowlands Pharmacy,53.3606529236,-2.9981307983
Boots,51.6109886169,-0.6455355287
Ayshas Pharmacy,51.3797721863,-2.3946657181
Madison's Pharmacy,51.327381134,-0.2152017504
Dapdune Pharmacy,51.2419967651,-0.5775769353
Boots,54.8372612,-1.333614707
Herne Hill Pharmacy,51.4567680359,-0.0963014141
Boots,53.4652633667,-3.0068953037
Allcures Pharmacy,51.4769439697,0.3225300014
Boots,51.6049232483,0.2349817008
Superdrug Stores Plc,52.6766090393,-2.4474041462
Lloydspharmacy,51.2882652283,-0.8486049771
Rowlands Pharmacy,53.4718666077,-2.5622859001
Lloydspharmacy,51.3667106628,1.1117630005
Prinja Pharmacy,52.5198059082,-1.813115716
Murrays Pharmacy,52.5142326355,-2.0972847939
Kamsons Pharmacy,51.4122962952,-0.0669440106
Boots,54.8196868896,-1.628397584
Boots,51.4319000244,-2.1861042976
Day Lewis Plc,50.6489105225,-1.1684696674
Brudenell Road Pharmacy,53.8122825623,-1.5696856976
Boots,51.4417495728,-2.5982139111
Orchard Pharmacy,51.4979782104,-0.4723499417
Chaudhry Pharmacy Ltd,50.8672447205,-0.9840891957
Lloydspharmacy,53.7577438354,-0.2951177657
Boots,53.4148635864,-1.4101040363
Hamlet Pharmacy,51.416469574,-0.0725493282
Boots,51.7527389526,-0.3390737772
Boots,50.8969421387,-1.3795585632
Preddy J and Co Ltd,51.181350708,-3.3306052685
Thursfield Chemist,52.4002876282,-0.7239317894
Lloydspharmacy,51.3599243164,-2.9284169674
Lloydspharmacy,53.3702278137,-2.2572622299
Park Lane Pharmacy,51.5588760376,-1.7959282398
The Co-Operative Pharmacy,53.1206550598,-2.7685267925
Boots,51.2939720154,0.4089874327
Jackmans Pharmacy,51.9703063965,-0.2103552371
Odedra Rc,52.5583610535,-0.2342266589
Coopers Chemist,51.9087409973,-0.1699594855
Ross Chemists,54.9200286865,-1.401035428
Boots,51.512676239,-0.1232708618
Weldricks Pharmacy,53.591960907,-1.0288321972
Superdrug,50.8969421387,-1.3795585632
Rowlands Pharmacy,52.7274894714,-2.71976161
Manor Pharmacy,52.8919563293,-1.1495308876
The Co-Operative Pharmacy,51.6083831787,0.0004002711
Midhurst Chemist,51.50365448,-0.3270618618
Boots,50.8344268799,-0.2063076645
Medicare Chemists,53.6515159607,-1.8072326183
Nories Pharmacy,51.0637512207,-0.3160422444
Sainsbury In-Store Pharmacy,51.3926925659,-0.7403434515
Lloydspharmacy,53.7429046631,-1.6047970057
Tesco (In Store) Pharmacy,50.7104377747,-1.1405996084
Lloydspharmacy,51.8124237061,-0.1900685132
The Co-Operative Pharmacy,53.3892440796,-2.5975084305
The Co-Operative Pharmacy,54.3273468018,-1.4464403391
Asda Pharmacy,53.4827232361,-2.1935229301
Living Care Pharmacy,53.7929534912,-1.5231134892
Wa Salter (Chemists) Ltd,53.5949249268,-2.5872478485
Boots,52.2285041809,-0.2677410841
Lloydspharmacy,51.356918335,-0.1734360754
Boots,52.5094909668,-2.0905852318
South Hylton Pharmacy,54.9042358398,-1.4496153593
P Edward Ltd,51.5401420593,-0.1166613623
Cornwell�s Chemists � Weeping Cross,52.792339325,-2.0795915127
Rowlands Pharmacy,53.5024757385,-2.2778277397
Boots,53.5417289734,-2.1136949062
Boots,51.5830459595,-2.0980923176
Sainsbury Pharmacy,51.5204811096,-0.6690349579
Whitworth Chemists,53.4585723877,-3.0020680428
Hambro Pharmacy,51.6006355286,0.6091374755
Boots,53.593547821,-2.2220709324
Radbrook Green Pharmacy,52.6962966919,-2.7750630379
M Simmonds,51.5615882874,-0.1498240232
Manor Pharmacy,52.9273719788,-1.1294835806
Tesco In-Store Pharmacy,52.199432373,-2.1798164845
Boots,53.7439041138,-2.4694342613
Dunn Chemists,51.4795036316,-0.4111537635
Abbott Pharmacy,51.5994911194,-0.1475763619
Lloydspharmacy,53.4698181152,-2.2242558002
Noor Pharmacy,52.4746246338,-1.9316449165
May and Thomson,51.3335266113,-0.5297868848
Springfield Pharmacy,51.4707221985,-0.1330275834
Lloydspharmacy,52.7587661743,-1.9360184669
Total Health Pharmacy,52.570438385,0.8268517256
Paydens Pharmacy,51.4057655334,-0.0334158279
The Village Pharmacy,51.5129508972,-0.6474215984
Boots,53.6834335327,-1.4913139343
Peak Pharmacy,53.2595329285,-1.4291371107
Superdrug,51.5818710327,-0.3333457708
Lloydspharmacy,52.9835739136,-1.1442625523
Rg Young Pharmacy Limited,54.9421577454,-1.5886820555
Reems Pharmacy,51.6130523682,-0.3318572938
The Co-Operative Pharmacy,53.4191055298,-1.4774847031
Cohens Chemist,53.4214553833,-2.3553044796
Boots,52.4402732849,-0.2843255997
Day Lewis Plc,54.3356323242,-1.4391314983
Asda Stores Ltd,53.7150192261,-1.3535033464
Bridge Pharmacy,51.5240020752,-0.7092341781
Lloydspharmacy,53.0321083069,-2.2182035446
Cohens Chemist,53.7923660278,-1.5751872063
Shacklock Chemist,51.4266662598,-0.1308535039
Cohens Chemist,53.7679443359,-2.417331934
Lloydspharmacy,55.0201797485,-1.568287015
Lloydspharmacy,50.8925209045,0.0602225624
Brisco's Chemists,53.0982513428,-1.2439337969
N D Chemists Ltd,52.5367698669,-1.8741981983
Boots,53.9308929443,-0.780152142
Lloydspharmacy,53.8662223816,-1.6833947897
K and A Pharmacy,54.9505577087,-1.5952943563
Tesco Superstores,53.991607666,-1.1027624607
Cohens Chemist,53.401473999,-2.9845867157
Boots,54.5084877014,-1.3536155224
M.Gokani Chemist,51.5447158813,-0.3736997545
Boots,51.1718292236,-1.7808607817
Boots,52.8963890076,-1.4275560379
The Co-Operative Pharmacy,52.6754989624,-0.3167618215
Day Lewis Pharmacy,50.4626235962,-3.5459730625
Boots,52.6659698486,-1.1668916941
Boots,52.5929450989,1.7071005106
Hale Pharmacy,51.6167755127,-0.2611159086
Clockwork Pharmacy,51.5401954651,-0.1172215343
Primrose Chemist,51.5421829224,-0.156307444
Boots,51.4584541321,-2.1156287193
Barkers Chemist (100 Hour Pharmacy),51.4096298218,-0.2323332876
Superdrug Pharmacy,53.7941474915,-1.7525985241
Wise Pharmacy Ltd,53.3730354309,-2.7097699642
Boots,52.4496879578,1.4429870844
Hbs Pharmacy,53.4522857666,-2.0807788372
Boots,50.541305542,-4.9390645027
Wymans Brook Pharmacy,51.9161186218,-2.0868821144
Boots,52.4805831909,-0.467846632
Lloydspharmacy,51.0150909424,-3.08096385
Hyde Pharmacy,53.4467506409,-2.0761611462
The Co-Operative Pharmacy,51.467212677,-2.5173535347
Crescent Pharmacy,53.4995498657,-3.0056273937
The Co-Operative Pharmacy,54.1914558411,-2.9124174118
Murrays Pharmacy,52.4609832764,-2.1504793167
Claydon Pharmacy,52.1069564819,1.1080061197
The Co-Operative Pharmacy,53.4566764832,-2.7432878017
Hawkin Wa and Sons Ltd,53.8485221863,-1.603681922
Asda Pharmacy,54.1222190857,-3.2377376556
The Co-Operative Pharmacy,51.1395874023,0.8529223204
Richards Chemists,51.4996566772,-0.3064799309
Boots,51.7158203125,-1.9671821594
Dents Chemists,53.2560844421,-1.450647831
The Co-Operative Pharmacy,55.1826934814,-1.5176626444
Fradley Pharmacy,52.7121810913,-1.7781770229
Salepick Ltd,51.7077217102,-0.1126039773
Boots,51.4850616455,-2.5052566528
Lloydspharmacy,51.1212425232,-0.2119261771
Udani Chemist,53.404586792,-2.9002130032
Boots,51.402053833,0.0162421744
Lloydspharmacy,52.9614944458,-1.1980407238
Jades Chemist,51.1212463379,-0.1810750365
Cox and Robinson (Chemists) Ltd,52.3243789673,-0.6168439984
Cohens Chemist,53.6329879761,-2.1360344887
Barbour Pharmacy,52.0628509521,1.1379038095
Boots,51.2132339478,-0.5660930276
Boots,54.0608024597,-2.8557415009
Paydens Ltd,51.2119636536,1.3765769005
Pickles Chemists,51.6038551331,-0.1904319525
Delta Pharmacy,52.0537033081,1.1735304594
Boots,51.9419746399,-1.5446221828
Pomfret Pharmacy,53.7589035034,-2.6973326206
Boots,53.1418380737,-1.1981699467
The Co-Operative Pharmacy,53.3939857483,-2.6107180119
Boots,51.2522163391,-0.5740662217
The Co-Operative Pharmacy,53.7039375305,-2.324719429
Parade Pharmacy,51.6564826965,-0.5237118602
Markrise Limited,51.4244995117,-0.1410251856
Lloydspharmacy,51.3200416565,-0.0644959733
Regent Practice,51.4536972046,-2.6180005074
Medi-Care Pharmacy,52.3847389221,-1.4730262756
The Broadway Pharmacy,52.4465904236,-2.1643295288
Cornwell�s Chemists � Beaconside,52.8111000061,-2.0831568241
Tesco Pharmacy,53.5315246582,-2.2038986683
Cohens Chemist,53.5608406067,-2.3697273731
Clarks Chemist,51.5365829468,-0.0615959726
Boots,53.1058921814,-2.0245161057
Jhoots Pharmacy,52.9363594055,-1.2645378113
Brunel Pharmacy,51.5328483582,-0.4728410542
Sabel Chemist Limited,51.5866928101,-0.2201430202
Waterbeach Pharmacy,52.2654457092,0.1907026321
Day Lewis Pharmacy,52.660774231,0.0494601354
Ridgway Pharmacy,51.4887084961,-0.0956338793
Withnell Pharmacy,53.6933898926,-2.5562391281
Boots,52.4874763489,-1.9606659412
Newport Pharmacy,53.5771560669,-2.4288756847
Boots,54.1802215576,-0.3212882876
Instore Pharmacy,53.4824638367,-2.0530343056
Bath Road Pharmacy,51.4691123962,-0.3727321923
Sogim Pharmacy,51.4571533203,-0.0752838776
Boots,51.3815879822,-2.3610291481
The Co-Operative Pharmacy,50.9539108276,-2.618093729
Lloydspharmacy,53.3925285339,-1.4574044943
Steve's Chemist,51.4752960205,0.3306837976
Morrisons Pharmacy,51.4727363586,-0.0686666965
Lloydspharmacy,53.5377044678,-2.2762932777
Hootons Pharmacy,53.6011352539,-2.5481350422
Tesco In Store Pharmacy,51.9058761597,-2.0892896652
Boots,53.4112434387,-2.1594698429
Zonebrow,51.58070755,-0.0327281691
Sainsbury's Supermarkets Ltd,54.6376991272,-1.6933467388
Caregrange Pharmacy,51.5027160645,-0.2244398743
J Lord Chemist,51.5979690552,-0.0947196931
K & K Pharmacy (1982) Ltd,52.5205383301,-1.7845362425
Clockwork Pharmacy Ltd,51.5597724915,-0.2514900267
Peter Buckley (Platt Bridge) Ltd,53.5222854614,-2.5959105492
Rowlands Pharmacy,50.6481704712,-2.4537329674
New Hall Lane Pharmacy,53.764339447,-2.6727032661
Markeaton Pharmacy,52.9326858521,-1.4921662807
Penn Care Pharmacy,52.5659255981,-2.1665315628
Griffiths Pharmacy,51.3948860168,-0.2382201105
Groves Pharmacy,51.410030365,-0.262183696
Banks Pharmacy,53.6816864014,-2.9216475487
Netteswell Pharmacy,51.7687644958,0.1123458669
Asda Stores Ltd,54.0562973022,-2.8280138969
Boots,50.7637176514,-2.0229463577
Boots,51.2063713074,-2.1785078049
Boots,53.2413368225,-0.5076337457
Health Plus Pharmacy,52.5140609741,-1.8918423653
Rj Berry,50.8076515198,-1.0817780495
Conway Chemists,51.5177688599,-0.2806427777
Boots,51.587600708,-0.0622834712
The Co-Operative Pharmacy,51.704624176,0.2458704114
Hounslow East Pharmacy,51.4727935791,-0.3567883074
Day Lewis Chemists Ltd,51.7919616699,-2.6147708893
Rowlands Castle Pharmacy,50.8913116455,-0.9587980509
Boots,52.0025558472,-0.7246378064
Tesco Instore Pharmacy,51.4887390137,-0.0761001855
Ace Pharmacy,51.3745956421,-0.3037279248
In-Store Pharmacy,52.9936180115,-2.2082657814
Whitworth Chemists Ltd,53.9545211792,-1.0587249994
Greencross Pharmacy,53.3447990417,-2.8554375172
Kamsons Pharmacy,51.2522926331,-0.1530662328
Kalsons Chemist,51.5568351746,0.6954887509
Imaan Pharmacy,53.5341796875,-2.5652840137
Lloydspharmacy,51.6101417542,0.0217231866
Boots,53.4291877747,-2.8034009933
Boots,51.431137085,-0.1297934949
Boots,51.9374427795,1.2811278105
Boots,51.9488677979,-0.2746810317
Boots,51.3791275024,-0.1265399307
ELLOUGHTON PHARMACY,53.7410087585,-0.5674089193
Blooms Pharmacy,50.863407135,0.5590820313
Boots,51.0718002319,1.0859874487
Petersfield Pharmacy,52.2003555298,0.1357680261
The Co-Operative Pharmacy,51.4809303284,-2.5062334538
Field Pharmacy,51.2120552063,0.3868101537
Masters Pharmacy,52.4940986633,-1.9996767044
National Co-Operative Chemists Ltd,52.5801124573,-1.1316837072
The Co-Operative Pharmacy,53.4207305908,-1.2844828367
Boots,52.3428039551,-1.5772438049
Gohil R,52.9976959229,-0.406450659
Coggrave Chemist,53.7046813965,-0.8760982156
Rowlands Pharmacy,52.8986740112,-1.2735006809
Ashworth Pharmacy Ltd,52.4867515564,-1.9912679195
Weldricks Pharmacy,53.3378868103,-1.3401755095
York Pharmacy,52.3390388489,-2.2792050838
B & P Pharmacy,51.5117988586,-0.6232023835
Boots,52.9394187927,0.4894579053
M Hussain Chemists Ltd,52.4152412415,-1.5015830994
Asda Stores Ltd,50.942817688,-2.6680767536
Day Lewis Pharmacy,51.5398788452,0.158129856
Tele-Chem Ltd,51.4003105164,-0.1445811391
Borno Chemists - Witham,51.7975883484,0.6368398666
Manor Pharmacy,52.7613830566,-1.5624163151
The Co-Operative Pharmacy,51.416015625,0.7475315332
Lloydspharmacy,52.9746131897,-0.0226715431
Dexter's Pharmacy,50.7854309082,-0.674380064
Boots,53.3903579712,-2.8598394394
Daysol Pharmacy,51.4638366699,0.1817648262
Devonshire Pharmacy,51.5189323425,-0.1690083146
City Pharmacy,50.8166122437,-1.0800124407
James Pharmacy,51.8989257813,-2.0801780224
Lloydspharmacy,53.0277290344,-2.1696343422
Badham Pharmacy,51.8768768311,-2.16670084
Lloydspharmacy,51.0734024048,-4.0366973877
Cohens Chemist,53.7235717773,-0.433078438
The Co-Operative Pharmacy,52.591129303,-1.1446039677
Lloydspharmacy,50.8075256348,-1.062890172
Victoria Chemist,53.496131897,-2.2615215778
Aldermans Pharmacy,51.6182060242,-0.1103833765
Boots,55.0365333557,-1.7648038864
Whitworth Chemists Ltd,53.820728302,-3.0445210934
Goostrey Pharmacy,53.2277450562,-2.3408753872
James and Lindsey Clark Chemist,54.5226707458,-1.5268906355
Lloydspharmacy,51.286781311,-2.4801335335
Boots,51.9951477051,-2.1561586857
Wickham Market Pharmacy,52.1535148621,1.3633317947
Jaybee Pharmacy,53.3975753784,-2.1229856014
Tesco Stores Limited,52.6914787292,-2.4929776192
Rowlands Pharmacy,51.3826141357,1.3976854086
Superdrug Pharmacy,50.8241271973,-0.1495389193
Bridge Pharmacy,51.3244781494,-0.543495357
White Cliffs Pharmacy,51.1239891052,1.3007404804
Lloydspharmacy,53.7535324097,-2.369022131
Mastaa-Care Pharmacy Ltd,51.562538147,0.1473572105
Cross Roads Pharmacy,51.4395637512,-0.3610775769
Boots,51.2750549316,0.5205839872
Boots,51.3199958801,-2.2027122974
Boots,52.6292228699,1.2953146696
Superdrug Stores,50.7419052124,-1.8786758184
Alpharm Chemist,51.4876556396,0.0907129198
Boots,52.4812736511,-1.7709604502
Boots,50.9882774353,-1.3745381832
Nuttall Aj Ltd,53.6612243652,-2.1739420891
Boots,52.463634491,-1.9008998871
Lloydspharmacy,50.8097724915,-0.3845361173
Well Street Pharmacy,53.1139373779,-2.169346571
The Co-Operative Pharmacy,53.7449607849,-2.463850975
Walden Chemists,51.4938201904,-0.1516039521
New Marske Pharmacy,54.5801620483,-1.0365208387
Lloydspharmacy,50.7284469604,-1.9423542023
Boots,51.3746261597,-0.0950985998
Lloydspharmacy,50.7056884766,-3.0721318722
Boots,51.5761756897,-0.2245082408
Lloydspharmacy,53.449760437,-2.8790180683
The Co-Operative Pharmacy,52.942363739,-0.8042210937
Boots,53.4867286682,-2.6369166374
Ashworth Dispensing Chemist,51.1364631653,0.8669833541
The Co-Operative Pharmacy,53.5338668823,-2.1513915062
Sandbern Chemist,51.5624351501,0.1229110584
Rowlands Pharmacy,53.35962677,-1.3724910021
Boots,51.0043563843,-0.9425447583
The Co-Operative Pharmacy,53.9010810852,-2.7756595612
Jhoots Pharmacy,52.6939468384,-1.8315348625
Lloydspharmacy,53.4106178284,-2.9670307636
Boots,52.2572250366,-1.1617209911
Knights Pharmacy,52.3033370972,-1.8945257664
Lloydspharmacy,51.3505134583,0.2568733692
Boots,52.9310264587,1.3002337217
Lloydspharmacy,51.364112854,0.6079081297
A Akhtar,52.9872322083,-2.1368682384
Boots,52.6125679016,1.2478913069
Cohens Chemist,53.4003334045,-2.1947126389
Melwood Pharmacy,53.4356613159,-2.8883457184
Whitworth Chemists Ltd,53.9161911011,-2.1442933083
Ward Green Pharmacy,53.5344963074,-1.4758396149
Rowlands Pharmacy,53.451084137,-2.6960129738
Asda Pharmacy,53.7071990967,-2.6450147629
Monkton Road Pharmacy Limited,53.9777145386,-1.0628376007
Boots,52.551486969,0.0824934393
Superdrug Pharmacy,52.9205703735,-1.4737461805
Boots,53.7833061218,-1.0693596601
Day Lewis Pharmacy,52.4206237793,0.749784708
Boots,51.284198761,-1.0597202778
Kasli Pharmacy,52.5215835571,-1.4909633398
Tesco Instore Pharmacy,52.085105896,0.4390811324
Rowlands Pharmacy,54.9039802551,-1.4105683565
Weldricks Pharmacy,53.3837127686,-1.5077908039
Al-Shafa Pharmacy,52.485496521,-1.9597693682
Medi Pharm,51.6116638184,0.5167169571
Lloydspharmacy,54.9550361633,-1.6248084307
Odell Hm Ltd,53.4534378052,-2.1580319405
Lincoln Co-Op Chemists Ltd,52.9474143982,-0.161341548
Asda Pharmacy,52.0840682983,1.1141662598
Sainsbury's In-Store Pharmacy,51.5570755005,-0.3962243199
Boots,50.7289466858,-1.9205201864
Crouch End Pharmacy,51.8878288269,0.8916686177
Boots,51.0877914429,-0.7090200782
Superdrug Pharmacy,50.371673584,-4.1436486244
Beckton Pharmacy,51.5145149231,0.0578273907
Holmes Pharmacy,53.2088470459,-2.7150933743
Lloydspharmacy,50.7274398804,-3.5239565372
Boots,51.4504585266,-0.3788788021
Superdrug Pharmacy,51.2357559204,-0.5731998682
Rays Chemists,51.4081726074,-0.1629538685
Shadsworth Pharmacy,53.7471504211,-2.4437983036
Lloydspharmacy,54.0019683838,-1.537525773
Hughes Chemists (Northern) Limited,53.711315155,-1.624758482
Lloydspharmacy,53.7235145569,-1.3145757914
Boots,51.4307899475,-0.3897744715
Boots,52.4755096436,-2.041945219
Boots,53.1525726318,-0.2131862938
Cohens Chemist,53.5892562866,-2.4102959633
Weston Pharmacy,53.2565231323,-2.1586229801
Stearns Pharmacy,51.9127159119,-0.2092727423
